github_url,architecture,continuous_integration,community,documentation,history,license,management,repository_size,unit_test,stars,class
https://github.com/BadrIT/seo_pages,0.294872,0,2,0.245234,32.000000,1,0.000000,1181,0.602694,4,project
https://github.com/fish2000/h5dj,0.500000,0,0,0.149480,0.000000,1,0.000000,3036,0.148058,2,project
https://github.com/chbrown/pi,0.750000,1,1,0.103960,7.000000,1,0.000000,224,0.000000,1,project
https://github.com/ScottMcMichael/lronacPipeline,1.000000,0,2,0.270424,16.166668,1,0.083333,8000,0.000000,1,project
https://github.com/dreikanter/pyke,0.727273,0,1,0.083799,0.000000,1,0.000000,480,0.000000,31,project
https://github.com/iancook75/oscillocalc,0.666667,0,3,0.084615,0.000000,1,0.000000,735,0.000000,0,project
https://github.com/novapost/django-ticketoffice,0.409091,1,2,0.261233,5.000000,1,2.300000,1471,0.088512,0,project
https://github.com/php-carteblanche/tool-form,1.000000,0,2,0.293103,2.066667,1,0.000000,1359,0.000000,0,project
https://github.com/erdavila/git-svn-diff,0.900000,0,1,0.055745,7.000000,1,0.000000,1018,0.497590,0,project
https://github.com/robertf224/pyTunes,0.333333,0,1,0.228814,0.000000,1,0.000000,160,0.000000,2,project
https://github.com/etherdev/markdown_datafier,0.600000,0,2,0.012158,4.000000,1,0.000000,372,0.572308,2,project
https://github.com/BradStevenson/Project-SciSearcher,1.000000,0,3,0.385484,28.750000,1,3.750000,26298,0.000000,0,project
https://github.com/generators-io-projects/generators,0.986301,0,2,0.218030,6.538462,1,3.000000,3241,0.648411,6,project
https://github.com/yhteentoimivuuspalvelut/ckanext-ytp-drupal,0.125000,0,2,0.109091,2.800000,1,0.100000,217,0.000000,1,project
https://github.com/bingoohuang/buka,0.981132,0,1,0.149810,23.000000,1,0.000000,18345,0.139210,1,project
https://github.com/melizalab/arfx,1.000000,1,1,0.217475,6.666667,1,6.000000,8645,0.000000,0,project
https://github.com/barterli/barter.li,0.708333,0,1,0.155982,21.583332,1,18.000000,33820,0.316536,30,project
https://github.com/giucam/termistor,1.000000,0,1,0.116921,2.428571,1,0.214286,1219,0.000000,8,project
https://github.com/langner/cclib,0.942857,1,2,0.361605,11.000000,1,0.030928,8776,0.123448,0,project
https://github.com/taky/joanne,0.933333,0,1,0.014063,6.727273,1,2.090909,2033,0.000000,1,project
https://github.com/apanzerj/zit,0.666667,0,1,0.102506,68.000000,1,7.000000,461,0.119289,0,project
https://github.com/kzeleny/script.tmdb,0.818182,0,1,0.011790,37.000000,1,0.000000,10896,0.000000,2,project
https://github.com/jlagerweij/swagger-springweb-maven-plugin,0.960000,0,1,0.028698,0.000000,1,0.000000,1817,0.043992,5,project
https://github.com/openSUSE/osc-plugin-factory,0.955556,1,4,0.183106,82.923080,1,25.000000,13051,0.152916,0,project
https://github.com/DevCabin/rootless,0.679012,0,1,0.212934,4.000000,1,0.000000,42852,0.000000,0,project
https://github.com/gagle/raspberrypi-openmax-jpeg,1.000000,0,1,0.138006,10.000000,1,0.000000,1207,0.000000,7,project
https://github.com/yoshizow/global-pygments-plugin,0.833333,0,1,0.291615,4.666667,1,0.833333,715,1.000000,28,project
https://github.com/oguna/SharpXFileParser,0.785714,0,1,0.238126,2.333333,1,0.000000,3529,0.000000,0,project
https://github.com/altstone/doorscenter,0.290196,0,0,0.024085,0.000000,0,0.000000,67629,0.000142,1,project
https://github.com/liulhdarks/darks-codec,1.000000,0,1,0.114170,9.800000,1,0.000000,69068,0.047529,23,project
